voyage_id,fixture_display_order,grade_name,display_order
56233368B703A2A5DC8F8B11A6BA0283,1,FO,0
5BD7D66754CD0D2A64DDA709ACA1C052,1,PARAXYLENE,0
5BD7D66754CD0D2A64DDA709ACA1C052,1,Benzene,1
557C01F1721216B67C3F30CAAC37C7CD,1,NHC,0
0DE071B2BC3DCC968063B3C51F8AFC90,1,,0
356D89D0EF2126659E475FA686F56545,1,UCO,1
356D89D0EF2126659E475FA686F56545,1,PFAD,3
356D89D0EF2126659E475FA686F56545,2,UCO,1
356D89D0EF2126659E475FA686F56545,3,CPO,0
433D2792C02F56CB4FE13C69BB4E55B0,1,Mogas,0
4B8D8DF767307B7F5E84A761442B695A,1,Denatured Ethanol,0
F7919DAEC7F2911A48F3010859D55FA4,1,CPP,0
56F951129BA83C40D3E9C3C7837D6063,1,,0
35D4F3F85C0B6D7DED40A3F8196EBDBC,1,,0
CF435F5276A52C9A32B0CD5B560D873E,1,Fuel Oil ,0
28A39A562ABA6C84FB8FD11A5E45ECED,1,NHC,0
1F0D7E5A23A8B0B1BF2B66AC9777B4A0,1,Toluene ,0
1F0D7E5A23A8B0B1BF2B66AC9777B4A0,1,Mixed Xylene,1
1F0D7E5A23A8B0B1BF2B66AC9777B4A0,1,CPP,2
C5282A9E1D3A895485CA1BC6B58B0475,1,CPP,0
E39C1DD55D3986E84F2D6D871BC83CCF,1,Crude,0
435DFE2E604479E778C763564668C8C9,1,FO,0
435DFE2E604479E778C763564668C8C9,1,NHC,1
D7141372CF2C0D8BA304EC9D963DC7B3,1,NHC,0
01D3CBFD8F42B5DBF5911BE00EE0191B,1,Fuel Oil ,0
3F0575AC8C3CE5A3E7B44EC0553347B3,1,PKO,0
3F0575AC8C3CE5A3E7B44EC0553347B3,1,CPO,1
3F0575AC8C3CE5A3E7B44EC0553347B3,1,RBDPS,2
3F0575AC8C3CE5A3E7B44EC0553347B3,1,RPO,3
4A7AF2816744D1AAC7B6F5A5E9ED3102,1,CSS,0
BBC56777049B378B7FE6706F6432E7E2,1,NHC,0
6D60FC46BF87A29690DF60C06FB8EC84,1,Molasses,0
F524CF611C509736304113A96DAB96A0,1,NHC,0
910E4888F92362185189B726C552782E,1,CHEM,0
910E4888F92362185189B726C552782E,1,VEGOIL,1
D2CC04D946AA838650FC80B4E824EF49,1,FO,0
AE215FFF2FEFA4C3913D31C6263DCC0B,1,CRD,0
77D85186867F6B9FB418E60ABDBC436B,1,Gasoline,0
8CC2E0735B0FCF43EE6950F91B622AAA,1,PARAXYLENE,0
8CC2E0735B0FCF43EE6950F91B622AAA,2,Methanol,0
4D1C227FE90D284B6737767B4D9FC0BB,1,Mogas,0
886F5CAF52B7B7BE3030DE8AC4CE2D78,1,CPP,0
EBC3BE82A903DA460C0E2A9A5B7F6A01,1,VEGOIL,0
895F74F35FCF145AFC2C36DE12D1A217,1,NHC,0
9B28A064F065566F29B0695C0044C5EA,1,Gasoline,0
8C3605698F49A5F431A634FFD393EA73,1,CPP,0
1C65AFEAA270402421447F3224619890,1,ULSD,0
1B2E19635061ABF9D6E834EBF8D3C3EE,1,CPP,0
06458016393A992D298F3E1E097A00F2,1,NHC,0
235B33558EDF08D53F1EAEDF7102020D,1,NHC,0
8C570F49B108A6746379D16CEFC5729D,1,CPP,0
48DF702582B8EBE67028C3CDF1C8F920,1,CPP,0
F4CC54E8A968777B5F6316EE277C7437,1,VEGOIL,0
